tanggal,periode_data,pm10,pm25,so2,co,o3,no2,max,parameter_pencemar_kritis,kategori,stasiun
1/1/2010,201001,60,,4,73,27,14,73,CO,SEDANG,DKI1 Bunderan HI
1/2/2010,201001,32,,2,16,33,9,33,O3,BAIK,DKI1 Bunderan HI
1/3/2010,201001,27,,2,19,20,9,27,PM10,BAIK,DKI1 Bunderan HI
1/4/2010,201001,22,,2,16,15,6,22,PM10,BAIK,DKI1 Bunderan HI
1/5/2010,201001,25,,2,17,15,8,25,PM10,BAIK,DKI1 Bunderan HI
1/6/2010,201001,30,,3,22,19,11,30,PM10,BAIK,DKI1 Bunderan HI
1/7/2010,201001,41,,4,24,27,13,41,PM10,BAIK,DKI1 Bunderan HI
1/8/2010,201001,64,,8,51,19,15,64,PM10,SEDANG,DKI1 Bunderan HI
1/9/2010,201001,55,,5,39,23,16,55,PM10,SEDANG,DKI1 Bunderan HI
1/10/2010,201001,34,,5,23,26,12,34,PM10,BAIK,DKI1 Bunderan HI
1/11/2010,201001,55,,10,32,23,16,55,PM10,SEDANG,DKI1 Bunderan HI
1/12/2010,201001,45,,4,33,9,17,45,PM10,BAIK,DKI1 Bunderan HI
1/13/2010,201001,28,,5,29,10,12,29,CO,BAIK,DKI1 Bunderan HI
1/14/2010,201001,38,,6,28,15,10,38,PM10,BAIK,DKI1 Bunderan HI
1/15/2010,201001,35,,5,33,17,17,35,PM10,BAIK,DKI1 Bunderan HI
1/16/2010,201001,54,,5,38,17,18,54,PM10,SEDANG,DKI1 Bunderan HI
1/17/2010,201001,44,,4,28,22,14,44,PM10,BAIK,DKI1 Bunderan HI
1/18/2010,201001,38,,4,29,24,15,38,PM10,BAIK,DKI1 Bunderan HI
1/19/2010,201001,40,,3,43,23,23,43,CO,BAIK,DKI1 Bunderan HI
1/20/2010,201001,61,,5,63,16,17,63,CO,SEDANG,DKI1 Bunderan HI
1/21/2010,201001,36,,4,27,23,13,36,PM10,BAIK,DKI1 Bunderan HI
1/22/2010,201001,51,,4,45,14,13,51,PM10,SEDANG,DKI1 Bunderan HI
1/23/2010,201001,35,,3,30,20,14,35,PM10,BAIK,DKI1 Bunderan HI
1/24/2010,201001,56,,6,46,30,14,56,PM10,SEDANG,DKI1 Bunderan HI
1/25/2010,201001,59,,4,38,18,15,59,PM10,SEDANG,DKI1 Bunderan HI
1/26/2010,201001,43,,5,42,19,24,43,PM10,BAIK,DKI1 Bunderan HI
1/27/2010,201001,54,,8,38,40,16,54,PM10,SEDANG,DKI1 Bunderan HI
1/28/2010,201001,72,,8,55,20,17,72,PM10,SEDANG,DKI1 Bunderan HI
1/29/2010,201001,51,,8,24,19,11,51,PM10,SEDANG,DKI1 Bunderan HI
1/30/2010,201001,47,,8,32,19,12,47,PM10,BAIK,DKI1 Bunderan HI
1/31/2010,201001,32,,5,25,26,10,32,PM10,BAIK,DKI1 Bunderan HI
2/1/2010,201002,41,,7,30,17,13,41,PM10,BAIK,DKI1 Bunderan HI
2/2/2010,201002,50,,4,30,23,12,50,PM10,BAIK,DKI1 Bunderan HI
2/3/2010,201002,49,,7,33,57,23,57,O3,SEDANG,DKI1 Bunderan HI
2/4/2010,201002,59,,9,38,75,26,75,O3,SEDANG,DKI1 Bunderan HI
2/5/2010,201002,63,,7,39,41,23,63,PM10,SEDANG,DKI1 Bunderan HI
2/6/2010,201002,65,,8,59,24,15,65,PM10,SEDANG,DKI1 Bunderan HI
2/7/2010,201002,60,,10,45,47,17,60,PM10,SEDANG,DKI1 Bunderan HI
2/8/2010,201002,46,,5,31,42,17,46,PM10,BAIK,DKI1 Bunderan HI
2/9/2010,201002,52,,7,30,34,16,52,PM10,SEDANG,DKI1 Bunderan HI
2/10/2010,201002,50,,8,31,39,14,50,PM10,BAIK,DKI1 Bunderan HI
2/11/2010,201002,47,,5,27,26,14,47,PM10,BAIK,DKI1 Bunderan HI
2/12/2010,201002,56,,6,33,45,20,56,PM10,SEDANG,DKI1 Bunderan HI
2/13/2010,201002,55,,6,39,14,14,55,PM10,SEDANG,DKI1 Bunderan HI
2/14/2010,201002,55,,6,61,16,13,61,CO,SEDANG,DKI1 Bunderan HI
2/15/2010,201002,40,,4,30,63,22,63,O3,SEDANG,DKI1 Bunderan HI
2/16/2010,201002,56,,4,43,25,20,56,PM10,SEDANG,DKI1 Bunderan HI
2/17/2010,201002,52,,4,34,30,17,52,PM10,SEDANG,DKI1 Bunderan HI
2/18/2010,201002,41,,5,26,14,10,41,PM10,BAIK,DKI1 Bunderan HI
2/19/2010,201002,37,,4,43,17,17,43,CO,BAIK,DKI1 Bunderan HI
2/20/2010,201002,52,,3,64,18,12,64,CO,SEDANG,DKI1 Bunderan HI
2/21/2010,201002,61,,4,53,36,15,61,PM10,SEDANG,DKI1 Bunderan HI
2/22/2010,201002,34,,4,31,23,16,34,PM10,BAIK,DKI1 Bunderan HI
2/23/2010,201002,57,,7,35,42,18,57,PM10,SEDANG,DKI1 Bunderan HI
2/24/2010,201002,59,,4,44,93,24,93,O3,SEDANG,DKI1 Bunderan HI
2/25/2010,201002,65,,6,55,26,26,65,PM10,SEDANG,DKI1 Bunderan HI
2/26/2010,201002,68,,9,67,67,22,68,PM10,SEDANG,DKI1 Bunderan HI
2/27/2010,201002,67,,8,47,47,19,67,PM10,SEDANG,DKI1 Bunderan HI
2/28/2010,201002,65,,6,38,80,23,80,O3,SEDANG,DKI1 Bunderan HI
3/1/2010,201003,60,,5,39,44,19,60,PM10,SEDANG,DKI1 Bunderan HI
3/2/2010,201003,74,,8,56,68,27,74,PM10,SEDANG,DKI1 Bunderan HI
3/3/2010,201003,54,,12,35,77,25,77,O3,SEDANG,DKI1 Bunderan HI
3/4/2010,201003,59,,9,32,62,20,62,O3,SEDANG,DKI1 Bunderan HI
3/5/2010,201003,62,,11,35,31,19,62,PM10,SEDANG,DKI1 Bunderan HI
3/6/2010,201003,72,,10,54,43,23,72,PM10,SEDANG,DKI1 Bunderan HI
3/7/2010,201003,59,,7,46,57,19,59,PM10,SEDANG,DKI1 Bunderan HI
3/8/2010,201003,56,,7,37,39,18,56,PM10,SEDANG,DKI1 Bunderan HI
3/9/2010,201003,45,,5,33,27,15,45,PM10,BAIK,DKI1 Bunderan HI
3/10/2010,201003,44,,8,37,41,19,44,PM10,BAIK,DKI1 Bunderan HI
3/11/2010,201003,51,,6,37,18,14,51,PM10,SEDANG,DKI1 Bunderan HI
3/12/2010,201003,43,,6,42,39,20,43,PM10,BAIK,DKI1 Bunderan HI
3/13/2010,201003,74,,9,46,64,16,74,PM10,SEDANG,DKI1 Bunderan HI
3/14/2010,201003,61,,9,27,27,13,61,PM10,SEDANG,DKI1 Bunderan HI
3/15/2010,201003,52,,8,28,30,15,52,PM10,SEDANG,DKI1 Bunderan HI
3/16/2010,201003,40,,5,25,45,13,45,O3,BAIK,DKI1 Bunderan HI
3/17/2010,201003,50,,8,30,25,15,50,PM10,BAIK,DKI1 Bunderan HI
3/18/2010,201003,58,,10,33,23,15,58,PM10,SEDANG,DKI1 Bunderan HI
3/19/2010,201003,63,,10,44,36,18,63,PM10,SEDANG,DKI1 Bunderan HI
3/20/2010,201003,54,,11,29,66,19,66,O3,SEDANG,DKI1 Bunderan HI
3/21/2010,201003,52,,7,33,31,16,52,PM10,SEDANG,DKI1 Bunderan HI
3/22/2010,201003,37,,5,22,15,10,37,PM10,BAIK,DKI1 Bunderan HI
3/23/2010,201003,52,,9,44,42,29,52,PM10,SEDANG,DKI1 Bunderan HI
3/24/2010,201003,53.5,,7,41,99,29,99,O3,SEDANG,DKI1 Bunderan HI
3/25/2010,201003,55,,9,33,46,20,55,PM10,SEDANG,DKI1 Bunderan HI
3/26/2010,201003,48,,4,45,57,29,57,O3,SEDANG,DKI1 Bunderan HI
3/27/2010,201003,61,,18,41,59,16,61,PM10,SEDANG,DKI1 Bunderan HI
3/28/2010,201003,56,,4,44,45,13,56,PM10,SEDANG,DKI1 Bunderan HI
3/29/2010,201003,50,,2,34,27,25,50,PM10,BAIK,DKI1 Bunderan HI
3/30/2010,201003,44,,6,33,42.25,12,44,PM10,BAIK,DKI1 Bunderan HI
3/31/2010,201003,58,,5,57,57.5,14,58,PM10,SEDANG,DKI1 Bunderan HI
4/1/2010,201004,59,,5,46,72.75,21,59,PM10,SEDANG,DKI1 Bunderan HI
4/2/2010,201004,57,,4,31,88,18,88,O3,SEDANG,DKI1 Bunderan HI
4/3/2010,201004,37,,4,18,82.8,10,37,PM10,BAIK,DKI1 Bunderan HI
4/4/2010,201004,39,,5.5,29,77.6,10,39,PM10,BAIK,DKI1 Bunderan HI
4/5/2010,201004,63,,7,50,72.4,22,63,PM10,SEDANG,DKI1 Bunderan HI
4/6/2010,201004,70,,9,52,67.2,27,70,PM10,SEDANG,DKI1 Bunderan HI
4/7/2010,201004,70,,14,42,62,25,70,PM10,SEDANG,DKI1 Bunderan HI
4/8/2010,201004,65,,15,54,102,27,102,O3,TIDAK SEHAT,DKI1 Bunderan HI
4/9/2010,201004,59,,12,46,27,15,59,PM10,SEDANG,DKI1 Bunderan HI
4/10/2010,201004,40,,10,33,33,12,40,PM10,BAIK,DKI1 Bunderan HI
4/11/2010,201004,45,,10,31,21,11,45,PM10,BAIK,DKI1 Bunderan HI
4/12/2010,201004,66,,19,39,80,25,80,O3,SEDANG,DKI1 Bunderan HI
4/13/2010,201004,57,,17,34,80,24,80,O3,SEDANG,DKI1 Bunderan HI
4/14/2010,201004,70,,16,40,59,21,70,PM10,SEDANG,DKI1 Bunderan HI
4/15/2010,201004,70,,13,57,41,19,70,PM10,SEDANG,DKI1 Bunderan HI
4/16/2010,201004,38,,11,30,42,13,42,O3,BAIK,DKI1 Bunderan HI
4/17/2010,201004,38,,10,26,28,12,38,PM10,BAIK,DKI1 Bunderan HI
4/18/2010,201004,36,,9,22,27,10,36,PM10,BAIK,DKI1 Bunderan HI
4/19/2010,201004,36,,9.5,24,20,10,36,PM10,BAIK,DKI1 Bunderan HI
4/20/2010,201004,39,,10,27,24,12,39,PM10,BAIK,DKI1 Bunderan HI
4/21/2010,201004,41,,10.5,23,30,12,41,PM10,BAIK,DKI1 Bunderan HI
4/22/2010,201004,37,,11,34,25,14,37,PM10,BAIK,DKI1 Bunderan HI
4/23/2010,201004,29,,11.5,22,23,12,29,PM10,BAIK,DKI1 Bunderan HI
4/24/2010,201004,31,,12,28,36,12,36,O3,BAIK,DKI1 Bunderan HI
4/25/2010,201004,50,,12.5,26,55,29,55,O3,SEDANG,DKI1 Bunderan HI
4/26/2010,201004,58,,13,31,67,29,67,O3,SEDANG,DKI1 Bunderan HI
4/27/2010,201004,67,,13.5,30,52,18,67,PM10,SEDANG,DKI1 Bunderan HI
4/28/2010,201004,56,,14,26,30,15,56,PM10,SEDANG,DKI1 Bunderan HI
4/29/2010,201004,61,,14.5,34,61,26,61,PM10,SEDANG,DKI1 Bunderan HI
4/30/2010,201004,76,,15,42,42,24,76,PM10,SEDANG,DKI1 Bunderan HI
5/1/2010,201005,60,,15.5,24,28,10,60,PM10,SEDANG,DKI1 Bunderan HI
5/2/2010,201005,58,,16,19,31,13,58,PM10,SEDANG,DKI1 Bunderan HI
5/3/2010,201005,60,,16,29,73,18,73,O3,SEDANG,DKI1 Bunderan HI
5/4/2010,201005,53,,13,27,31,16,53,PM10,SEDANG,DKI1 Bunderan HI
5/5/2010,201005,53,,16,26,35,15,53,PM10,SEDANG,DKI1 Bunderan HI
5/6/2010,201005,53,,19,25,21,11,53,PM10,SEDANG,DKI1 Bunderan HI
5/7/2010,201005,67,,19,33,33,16,67,PM10,SEDANG,DKI1 Bunderan HI
5/8/2010,201005,57,,16,24,26,9,57,PM10,SEDANG,DKI1 Bunderan HI
5/9/2010,201005,58,,16,28,51,16,51,O3,SEDANG,DKI1 Bunderan HI
5/10/2010,201005,59,,14,43,75,26,75,O3,SEDANG,DKI1 Bunderan HI
5/11/2010,201005,60,,14,42,60,24,60,O3,SEDANG,DKI1 Bunderan HI
5/12/2010,201005,61,,12,50,32,19,61,PM10,SEDANG,DKI1 Bunderan HI
5/13/2010,201005,52,,15,40,65,21,65,O3,SEDANG,DKI1 Bunderan HI
5/14/2010,201005,59,,12,46,69,26,69,O3,SEDANG,DKI1 Bunderan HI
5/15/2010,201005,52,,14,45,92,26,92,O3,SEDANG,DKI1 Bunderan HI
5/16/2010,201005,56,,12,29,65,15,65,O3,SEDANG,DKI1 Bunderan HI
5/17/2010,201005,55,,15,55,32,16,55,PM10,SEDANG,DKI1 Bunderan HI
5/18/2010,201005,57,,17,45,50,25,57,PM10,SEDANG,DKI1 Bunderan HI
5/19/2010,201005,69,,14,39,79,18,79,O3,SEDANG,DKI1 Bunderan HI
